iter	Passed	Remaining
308	555	1241
309	557	1239
310	558	1238
311	560	1236
312	562	1234
313	564	1232
314	565	1230
315	567	1228
316	569	1226
317	571	1224
318	572	1223
319	574	1221
320	576	1219
321	578	1218
322	580	1217
323	582	1215
324	584	1213
325	586	1211
326	587	1209
327	589	1208
328	591	1206
329	593	1204
330	595	1203
331	597	1201
332	599	1200
333	600	1198
334	602	1196
335	604	1194
336	606	1192
337	608	1190
338	609	1189
339	611	1187
340	613	1185
341	615	1183
342	617	1182
343	619	1180
344	620	1178
345	622	1177
346	624	1175
347	626	1174
348	628	1172
349	630	1170
350	631	1168
351	633	1166
352	635	1164
353	637	1162
354	638	1160
355	640	1159
356	642	1157
357	644	1156
358	646	1154
359	648	1152
360	650	1150
361	651	1148
362	653	1147
363	655	1145
364	657	1143
365	659	1142
366	661	1140
367	662	1138
368	664	1136
369	666	1134
370	668	1133
371	670	1131
372	672	1129
373	673	1127
374	675	1126
375	677	1124
376	679	1122
377	681	1120
378	682	1119
379	684	1117
380	686	1115
381	688	1114
382	690	1112
383	692	1110
384	694	1108
385	696	1107
386	697	1105
387	699	1103
388	701	1101
389	703	1099
390	705	1098
391	706	1096
392	708	1094
393	710	1092
394	712	1090
395	714	1089
396	720	1094
397	724	1095
398	735	1107
399	739	1109
400	751	1121
401	760	1130
402	766	1135
403	772	1139
404	777	1142
405	781	1143
406	791	1152
407	797	1157
408	806	1164
409	815	1173
410	820	1176
411	833	1189
412	837	1190
413	843	1194
414	847	1195
415	851	1194
416	856	1197
417	863	1202
418	866	1201
419	879	1214
420	882	1213
421	888	1216
422	892	1217
423	898	1220
424	903	1222
425	908	1224
426	914	1227
427	919	1228
428	924	1230
429	930	1233
430	936	1236
431	942	1239
432	948	1242
433	953	1243
434	960	1247
435	966	1249
436	974	1255
437	979	1256
438	982	1256
439	987	1256
440	991	1257
441	995	1256
442	1001	1259
443	1006	1260
444	1010	1260
445	1017	1264
446	1027	1271
447	1032	1272
448	1037	1273
449	1042	1274
450	1046	1274
451	1051	1274
452	1057	1276
453	1063	1278
454	1067	1279
455	1074	1282
456	1080	1284
457	1087	1286
458	1091	1286
459	1097	1288
460	1103	1290
461	1108	1291
462	1118	1297
463	1123	1297
464	1128	1298
465	1136	1302
466	1141	1302
467	1146	1303
468	1150	1303
469	1154	1302
470	1161	1304
471	1165	1303
472	1176	1310
473	1182	1312
474	1186	1311
475	1189	1308
476	1191	1306
477	1193	1303
478	1195	1300
479	1198	1297
480	1200	1294
481	1202	1291
482	1203	1288
483	1205	1285
484	1207	1282
485	1209	1278
486	1210	1275
487	1212	1272
488	1214	1268
489	1216	1265
490	1218	1262
491	1220	1260
492	1222	1257
493	1224	1254
494	1226	1251
495	1228	1248
496	1230	1245
497	1232	1242
498	1234	1239
499	1236	1236
500	1238	1233
501	1240	1230
502	1242	1227
503	1243	1223
504	1245	1220
505	1247	1217
506	1249	1214
507	1250	1211
508	1252	1208
509	1254	1205
510	1256	1202
511	1258	1199
512	1260	1196
513	1261	1193
514	1263	1189
515	1265	1186
516	1267	1183
517	1269	1180
518	1271	1177
519	1272	1174
520	1274	1171
521	1276	1168
522	1278	1165
523	1280	1162
524	1281	1159
525	1283	1156
526	1285	1153
527	1287	1151
528	1289	1148
529	1291	1145
530	1292	1141
531	1294	1138
532	1296	1135
533	1297	1132
534	1299	1129
535	1301	1126
536	1303	1123
537	1305	1120
538	1306	1117
539	1308	1114
540	1310	1111
541	1312	1108
542	1314	1105
543	1316	1103
544	1317	1100
545	1319	1097
546	1321	1094
547	1323	1091
548	1325	1088
549	1326	1085
550	1328	1082
551	1330	1079
552	1332	1076
553	1333	1073
554	1335	1070
555	1337	1068
556	1339	1065
557	1341	1062
558	1342	1059
559	1344	1056
560	1346	1053
561	1348	1051
562	1350	1048
563	1352	1045
564	1354	1042
565	1356	1039
566	1357	1036
567	1359	1033
568	1361	1031
569	1363	1028
570	1364	1025
571	1366	1022
572	1368	1019
573	1370	1016
574	1372	1014
575	1373	1011
576	1375	1008
577	1377	1005
578	1379	1003
579	1381	1000
580	1383	997
581	1385	994
582	1387	992
583	1389	989
584	1390	986
585	1392	983
586	1394	981
587	1396	978
588	1398	975
589	1399	972
590	1401	970
591	1403	967
592	1405	964
593	1407	961
594	1409	959
595	1410	956
596	1413	953
597	1415	951
598	1417	948
599	1419	946
600	1421	943
601	1423	940
602	1425	938
603	1426	935
604	1428	932
605	1430	929
606	1432	927
607	1434	924
608	1436	921
609	1437	919
610	1439	916
611	1441	913
612	1443	911
613	1445	908
614	1447	905
615	1448	903
616	1450	900
617	1452	897
618	1454	895
619	1456	892
620	1458	889
621	1459	887
622	1461	884
623	1464	882
624	1466	879
625	1470	878
626	1473	876
627	1476	874
628	1478	872
629	1480	869
630	1482	866
631	1484	864
632	1486	861
633	1487	858
634	1489	856
635	1491	853
636	1493	851
637	1495	848
638	1497	845
639	1498	843
640	1500	840
641	1502	837
642	1504	835
643	1506	832
644	1508	830
645	1510	827
646	1512	824
647	1513	822
648	1515	819
649	1517	817
650	1519	814
651	1521	811
652	1522	809
653	1524	806
654	1526	804
655	1528	801
656	1530	798
657	1531	796
658	1533	793
659	1535	790
660	1537	788
661	1539	785
662	1540	783
663	1542	780
664	1544	778
665	1546	775
666	1548	773
667	1550	770
668	1551	767
669	1553	765
670	1555	762
671	1557	760
672	1559	757
673	1561	755
674	1562	752
675	1564	749
676	1566	747
677	1568	744
678	1570	742
679	1571	739
680	1573	737
681	1575	734
682	1577	732
683	1579	729
684	1581	727
685	1583	724
686	1584	722
687	1586	719
688	1588	717
689	1590	714
690	1592	711
691	1593	709
692	1595	706
693	1597	704
694	1599	701
695	1601	699
696	1602	696
697	1604	694
698	1606	691
699	1608	689
700	1610	686
701	1611	684
702	1613	681
703	1615	679
704	1616	676
705	1619	674
706	1620	671
707	1622	669
708	1624	666
709	1626	664
710	1627	661
711	1629	659
712	1631	656
713	1633	654
714	1634	651
715	1636	649
716	1638	646
717	1640	644
718	1642	641
719	1643	639
720	1645	636
721	1647	634
722	1649	631
723	1651	629
724	1652	626
725	1654	624
726	1656	622
727	1658	619
728	1660	617
729	1661	614
730	1663	612
731	1665	609
732	1667	607
733	1669	604
734	1670	602
735	1672	599
736	1674	597
737	1676	595
738	1677	592
739	1679	590
740	1681	587
741	1683	585
742	1685	582
743	1687	580
744	1688	577
745	1690	575
746	1692	573
747	1693	570
748	1695	568
749	1697	565
750	1699	563
751	1701	561
752	1703	558
753	1705	556
754	1706	553
755	1708	551
756	1710	549
757	1712	546
758	1714	544
759	1715	541
760	1717	539
761	1719	537
762	1721	534
763	1722	532
764	1724	529
765	1726	527
766	1728	524
767	1729	522
768	1731	520
769	1733	517
770	1735	515
771	1737	513
772	1738	510
773	1740	508
774	1742	505
775	1744	503
776	1746	501
777	1747	498
778	1749	496
779	1751	494
780	1753	491
781	1755	489
782	1756	486
783	1758	484
784	1760	482
785	1762	479
786	1764	477
787	1766	475
788	1767	472
789	1769	470
790	1771	468
791	1773	465
792	1775	463
793	1777	461
794	1779	458
795	1781	456
796	1783	454
797	1785	451
798	1787	449
799	1788	447
800	1790	444
801	1792	442
802	1794	440
803	1796	437
804	1797	435
805	1799	433
806	1801	430
807	1803	428
808	1804	426
809	1806	423
810	1808	421
811	1810	419
812	1812	416
813	1814	414
814	1816	412
815	1817	409
816	1819	407
817	1821	405
818	1823	403
819	1825	400
820	1827	398
821	1828	396
822	1830	393
823	1832	391
824	1834	389
825	1835	386
826	1837	384
827	1839	382
828	1841	379
829	1843	377
830	1844	375
831	1846	372
832	1848	370
833	1850	368
834	1852	366
835	1854	363
836	1856	361
837	1857	359
838	1859	356
839	1861	354
840	1862	352
841	1864	349
842	1866	347
843	1868	345
844	1869	343
845	1871	340
846	1873	338
847	1875	336
848	1877	333
849	1878	331
850	1880	329
851	1882	327
852	1884	324
853	1886	322
854	1888	320
855	1889	317
856	1891	315
857	1893	313
858	1895	311
859	1897	308
860	1898	306
861	1900	304
862	1902	302
863	1904	299
864	1906	297
865	1908	295
866	1909	292
867	1911	290
868	1913	288
869	1915	286
870	1917	283
871	1918	281
872	1920	279
873	1922	277
874	1924	274
875	1926	272
876	1927	270
877	1929	268
878	1931	265
879	1933	263
880	1934	261
881	1936	259
882	1938	256
883	1940	254
884	1942	252
885	1944	250
886	1946	247
887	1948	245
888	1950	243
889	1952	241
890	1954	239
891	1955	236
892	1957	234
893	1959	232
894	1961	230
895	1963	227
896	1964	225
897	1967	223
898	1969	221
899	1970	218
900	1972	216
901	1974	214
902	1976	212
903	1978	210
904	1980	207
905	1982	205
906	1984	203
907	1985	201
908	1987	198
909	1989	196
910	1991	194
911	1993	192
912	1994	190
913	1996	187
914	1998	185
915	2000	183
916	2001	181
917	2004	179
918	2005	176
919	2007	174
920	2009	172
921	2011	170
922	2012	167
923	2014	165
924	2016	163
925	2018	161
926	2020	159
927	2021	156
928	2023	154
929	2025	152
930	2027	150
931	2029	148
932	2030	145
933	2032	143
934	2034	141
935	2036	139
936	2037	137
937	2039	134
938	2041	132
939	2043	130
940	2044	128
941	2046	126
942	2048	123
943	2050	121
944	2052	119
945	2053	117
946	2055	115
947	2057	112
948	2059	110
949	2061	108
950	2062	106
951	2064	104
952	2066	101
953	2068	99
954	2070	97
955	2072	95
956	2073	93
957	2075	90
958	2076	88
959	2078	86
960	2079	84
961	2081	82
962	2083	80
963	2085	77
964	2086	75
965	2088	73
966	2089	71
967	2091	69
968	2092	66
969	2094	64
970	2095	62
971	2097	60
972	2098	58
973	2100	56
974	2101	53
975	2103	51
976	2105	49
977	2107	47
978	2109	45
979	2110	43
980	2112	40
981	2114	38
982	2116	36
983	2118	34
984	2120	32
985	2121	30
986	2123	27
987	2125	25
988	2127	23
989	2128	21
990	2130	19
991	2132	17
992	2134	15
993	2136	12
994	2137	10
995	2139	8
996	2141	6
997	2143	4
998	2145	2
999	2147	0
