iter	Logloss
0	0.6878197173
1	0.6839135958
2	0.6785119592
3	0.67297338
4	0.6691153664
5	0.6650835295
6	0.6604312139
7	0.6543971966
8	0.6494871227
9	0.6452617968
10	0.640350627
11	0.6355496035
12	0.6314689038
13	0.626144825
14	0.6218228794
15	0.6177386044
16	0.6140227725
17	0.6099389225
18	0.6054872872
19	0.6017314695
20	0.5976316393
21	0.5949168609
22	0.5911731866
23	0.5877256333
24	0.5840872497
25	0.580738108
26	0.5773944301
27	0.5734974059
28	0.570383653
29	0.5672685072
30	0.5639540312
31	0.5603763619
32	0.5576645201
33	0.5545362397
34	0.5518080574
35	0.5486168172
36	0.5466092327
37	0.5439278772
38	0.5415871383
39	0.538482807
40	0.5361230061
41	0.53356308
42	0.5314246517
43	0.5283502979
44	0.5265913737
45	0.5242407854
46	0.5222870633
47	0.5196936899
48	0.5172212934
49	0.514587678
50	0.5122326086
51	0.5107323468
52	0.5090316709
53	0.5060358796
54	0.5037606738
55	0.5023344259
56	0.5001657445
57	0.4980884794
58	0.4961753607
59	0.493919606
60	0.4921082803
61	0.4902421272
62	0.4883125392
63	0.486484889
64	0.4846407387
65	0.4821512696
66	0.4805744281
67	0.4789179236
68	0.4765672825
69	0.4747894346
70	0.4732439852
71	0.4726110584
72	0.4714933581
73	0.4700744506
74	0.4683937067
75	0.4672431506
76	0.4656258399
77	0.4636338791
78	0.462448129
79	0.4610510661
80	0.4597900558
81	0.4583732425
82	0.4577704449
83	0.4568020888
84	0.4555778583
85	0.4541028809
86	0.4529814304
87	0.4515868141
88	0.4501185803
89	0.4486307494
90	0.4475102076
91	0.4462463953
92	0.4449859798
93	0.4437668151
94	0.4427442888
95	0.4416264185
96	0.4396754344
97	0.4383108042
98	0.4369429309
99	0.4365311934
100	0.4355898237
101	0.4343604779
102	0.4330794099
103	0.4315759714
104	0.4299928712
105	0.4291151246
106	0.4285713527
107	0.4277994801
108	0.4266689248
109	0.4259545045
110	0.4247007116
111	0.4231834819
112	0.4219640468
113	0.420549976
114	0.4198622486
115	0.4193239449
116	0.418272236
117	0.4172581457
118	0.4165267
119	0.4149696629
120	0.4140058909
121	0.4132914031
122	0.4126203536
123	0.4118154447
124	0.4110347476
125	0.4102329262
126	0.4090745351
127	0.407735107
128	0.4066771944
129	0.405668085
130	0.4048171593
131	0.4040634128
132	0.4031515625
133	0.4023703876
134	0.4018178472
135	0.4012262218
136	0.4003039284
137	0.3991725503
138	0.3983607397
139	0.3973883605
140	0.3963046009
141	0.3958044869
142	0.3952630277
143	0.3941515523
144	0.3931702086
145	0.3922760045
146	0.3913907375
147	0.3907441188
148	0.389748434
149	0.389056536
150	0.388271237
151	0.3876136026
152	0.3867441305
153	0.3862483239
154	0.3856267216
155	0.3848787334
156	0.3840246609
157	0.382715122
158	0.3819290162
159	0.3814868735
160	0.3811526712
161	0.3801380432
162	0.3795254933
163	0.3790701981
164	0.3781325884
165	0.3776415859
166	0.3772089226
167	0.3763932766
168	0.3761095344
169	0.3749433277
170	0.3741601842
171	0.3734291138
172	0.3729031142
173	0.3723813093
174	0.3718557821
175	0.370915421
176	0.3705854016
177	0.369279329
178	0.3690729963
179	0.3684754074
180	0.3677825225
181	0.3672173467
182	0.3667195157
183	0.3659484135
184	0.3649629182
185	0.3645733857
186	0.3642370997
187	0.3635609256
188	0.362834563
189	0.3624102855
190	0.361736741
191	0.3613654234
192	0.3609054149
193	0.3603109888
194	0.3594081785
195	0.3587022279
196	0.3580959801
197	0.357421699
198	0.3568467016
199	0.3563764488
200	0.3558841779
201	0.355375502
202	0.3549017601
203	0.3543181792
204	0.3533959417
205	0.3526083609
206	0.3516606922
207	0.3511626907
208	0.3506767236
209	0.3500586763
210	0.349845887
211	0.3491346771
212	0.3487512396
213	0.348055262
214	0.3475916556
215	0.347092216
216	0.3467410841
217	0.3460655893
218	0.3452205564
219	0.3448067242
220	0.3438794498
221	0.3433987308
222	0.3431059732
223	0.3426543204
224	0.3423189325
225	0.3420238212
226	0.3416022052
227	0.3405888203
228	0.3396417227
229	0.3388813325
230	0.3383654742
231	0.3381058796
232	0.3374915161
233	0.336818795
234	0.3360198097
235	0.3355661249
236	0.3348483924
237	0.3343974023
238	0.3338991798
239	0.3330630883
240	0.3324141021
241	0.3323175727
242	0.331864071
243	0.3313442318
244	0.3306993263
245	0.3299800486
246	0.3294819035
247	0.3288438467
248	0.3286790522
249	0.3283270266
250	0.3278923598
251	0.3271301611
252	0.3266416443
253	0.326194528
254	0.3256939153
255	0.3251324333
256	0.3245153733
257	0.3241290474
258	0.3237698142
259	0.3232980319
260	0.3229463849
261	0.3225635377
262	0.3225208574
263	0.3215754631
264	0.3208269777
265	0.3202217603
266	0.3200050064
267	0.3195451094
268	0.3191784079
269	0.3188424029
270	0.3184641371
